2022-03-03/11:27:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
